見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
県美術展覧会出品事前申込,部門：洋画、日本画、書、写真、工芸、 彫塑、華道,,,,,県内在住・在勤・在学、またはしていた方 ※中学生以下は不可,,"1点につき3,000円（20歳以下・学生は無料）",,,郵送、ファックス、Eメール、インターネットで住所、氏名、電話番号、職業、出品部門、出品点数などを8月31日までに県庁文化学術課 ファックス073-436-7767,,,,https://www.pref.wakayama.lg.jp/prefg/070600/concours/index.html,,e0221001@pref.wakayama.lg.jp,
「わかやまの山村｣絵画コンクール,テーマ：山村の暮らし・風景・出来事や山村のイメージなど,規格：四つ切り画用紙,,,,県内在学の園児（4歳児～）・小・中・高校生（特別支援学校含む）,,,,,学校などを通じて郵送、持参で応募票（WEBサイトで配布）を作品裏面に貼付し8月1日～9月12日に県庁林業振興課,,,,https://www.pref.wakayama.lg.jp/prefg/070600/concours/index.html,,,
人権の詩2018,人権をテーマにした詩 ※要題名。1人何点でも可,,,,,県内在住・在勤・在学の方,,,,,郵送、ファックス、Eメールで作品と住所、氏名（ふりがな）、年齢、勤務先または学校名（学年）、電話番号を9月6日までに県人権啓発センター 〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛2階 電話073-435-5420　ファックス073-435-5421,,,,http://w-jinken.jp/,,kokoronouta@w-jinken.jp,
県統計グラフコンクール,統計グラフの作品募集,規格：B2判,,,,第1部（小学1・2年生）、第2部（小学3・4年生）、第3部（小学5・6年生）、第4部（中学生）、第5部（高校生以上）、パソコン統計グラフの部（小学生以上）,,,,,郵送、持参で9月3日までに県統計協会（県庁調査統計課内）,,,,https://www.pref.wakayama.lg.jp/prefg/020300/toukeigraph/index.html,,,
第4回県ジュニア美術展覧会作品,絵画・書・立体の3部門の作品を募集。 入選以上は県立近代美術館に展示,,,,,県内在住・在学の小・中学生（特別支援学校含む）※学校・団体経由と個人出品があります。申込方法など詳しくは要問合せ,,,,県庁文化学術課,,,,,https://www.pref.wakayama.lg.jp/prefg/022100/jrkenten/index.html,,,
川の生き物を調べよう,水生生物の調査用具、冊子などを配布。その用具などを使って、県内の川を調べ、結果を知らせてください。,,,,,,600人（先着順）,,,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号、メールアドレス、参加人数を9月20日までに県庁環境生活総務課ファックス073-433-3590,,,,https://www.pref.wakayama.lg.jp/prefg/032000/suiseiseibutu/chosa.html,,e0317001@pref.wakayama.lg.jp,
夏休み！金銭教育バス教室,,,,8月8日（水） ※和歌山ビッグ愛（和歌山市）7:50集合,日本銀行大阪支店、大阪造幣局,小学4～6年生と保護者（過去参加児童除く）,20組40人（抽選）,,,,往復ハガキで住所、児童・保護者の氏名（ふりがな）、学年、電話番号を7月12日までに県金融広報委員会〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛8階電話073-426-0298,,,,http://www.wakayama-kinkoui.jp/,,,
夏休み!楽しく学ぶ消費者教室,講座：(1)おやつについて学ぼう！(2)花王和歌山工場見学,7月30日（月）(1)10:30～11:45(2)12:45 和歌山ビッグ愛集合,,,,(1)小学1～3年生（保護者同伴可）(2)小学4～6年生（保護者同伴要）,各20人（先着順）,,,,郵送、電話、ファックスで講座名、住所、児童氏名（学年）、保護者氏名、電話番号を7月23日までに県消費生活センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛8階 電話073-433-1551　ファックス073-433-3904,,,,http://www.wcac.jp/,,,
「男女でつくる元気な和歌山」ポスター,規格：四つ切り画用紙※「すてきだね　笑顔で家事する　パパとママ」「男らしく、女らしくから自分らしくへ」「デートDVにレッドカード!」などの他、自由に標語を記載,,,,,県内在住・在学の小・中・高校生（特別支援学校含む）,,,,,郵送、持参で応募票（申込先、WEBサイトで配布）を作品裏面に貼付し9月15日までに県男女共同参画センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛9階電話073-435-5245,,,,https://www.pref.wakayama.lg.jp/prefg/031501/index.html,,,
明るい選挙啓発ポスター,,規格：四つ切り・八つ切り画用紙,,,,県内在住・在学の小・中・高校生（特別支援学校含む）・高等専門学校生（1～3年生）※1人1点,,,,県選挙管理委員会（県庁市町村課内）,郵送、持参で作品裏面右下に県名、学校名、学年、氏名（ふりがな）を記入し、9月7日までに市町村選挙管理委員会,,,,https://www.pref.wakayama.lg.jp/prefg/010600/wsenkan/poster/poster.html,,,
